fingerprint,ruleId,uri,line,level,cwe,owasp_asvs,compliance_name,meta_source,triage_status,fixed_in_version,external_ticket_id,external_system,pci_dss,sox,soc2,gost_r_57580,dashboard_cwe_class,sla_state,sla_seconds_until_due,ttf_seconds_open,message
c8b57686de497c6e142675fb89f728d1e9cd26c9c6930ab1f5b83558504df065,spring-mvc-csrf-state-changing,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DealController.java,153,warning,CWE-352,A01,Spring MVC state-changing handler — CSRF mitigations not evident from controller source,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring MVC state-changing handler — CSRF mitigations not evident from controller source: Spring MVC state-changing endpoint без CSRF token.
b2c2cb926ef4f77e7214f74078e7dbdb85fb3e1b08aec6da2e79a081d2abdd4d,spring-mvc-csrf-state-changing,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DealController.java,216,warning,CWE-352,A01,Spring MVC state-changing handler — CSRF mitigations not evident from controller source,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring MVC state-changing handler — CSRF mitigations not evident from controller source: Spring MVC state-changing endpoint без CSRF token.
4e5c6b4c8535079a82e7a68140051fd8417e294f713c7148687dd574a6a74b77,spring-mvc-csrf-state-changing,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DepositController.java,34,warning,CWE-352,A01,Spring MVC state-changing handler — CSRF mitigations not evident from controller source,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring MVC state-changing handler — CSRF mitigations not evident from controller source: Spring MVC state-changing endpoint без CSRF token.
79fd302212a2b42fb48791ad3fd7b7f7383be89999fcd4a0e6d9b41e4dded5b2,spring-mvc-csrf-state-changing,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DepositController.java,99,warning,CWE-352,A01,Spring MVC state-changing handler — CSRF mitigations not evident from controller source,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring MVC state-changing handler — CSRF mitigations not evident from controller source: Spring MVC state-changing endpoint без CSRF token.
eccb8db6d653deec399e65962ee8ab76e1b9a18510437042f9e179b89bbfc291,spring-mvc-csrf-state-changing,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DepositController.java,104,warning,CWE-352,A01,Spring MVC state-changing handler — CSRF mitigations not evident from controller source,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring MVC state-changing handler — CSRF mitigations not evident from controller source: Spring MVC state-changing endpoint без CSRF token.
4997fb4da83833e1dad8907cf0dbfe15bbaa4eac85ff7ea03cc8cafe90cb5873,spring-mvc-csrf-state-changing,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DepositController.java,135,warning,CWE-352,A01,Spring MVC state-changing handler — CSRF mitigations not evident from controller source,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring MVC state-changing handler — CSRF mitigations not evident from controller source: Spring MVC state-changing endpoint без CSRF token.
1150e372a89edce8b7bcba29feb4220e9768f3f1ec30f20b6c1094c6a4d47f4d,spring-mvc-csrf-state-changing,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DepositOvernightController.java,140,warning,CWE-352,A01,Spring MVC state-changing handler — CSRF mitigations not evident from controller source,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring MVC state-changing handler — CSRF mitigations not evident from controller source: Spring MVC state-changing endpoint без CSRF token.
a7e90cdacddcfeb44200ae018e5bc989d4dc1c8b4e88bea73e9ada4e76f31332,spring-mvc-csrf-state-changing,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DepositOvernightController.java,196,warning,CWE-352,A01,Spring MVC state-changing handler — CSRF mitigations not evident from controller source,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring MVC state-changing handler — CSRF mitigations not evident from controller source: Spring MVC state-changing endpoint без CSRF token.
412ba05379c9c9b8bdf22e989cd97973e22387acfa4bd42ed7b8ce51434ce079,spring-mvc-csrf-state-changing,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DepositOvernightController.java,255,warning,CWE-352,A01,Spring MVC state-changing handler — CSRF mitigations not evident from controller source,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring MVC state-changing handler — CSRF mitigations not evident from controller source: Spring MVC state-changing endpoint без CSRF token.
993ebbcee3b0075d6d1a7f5919730f133a25366107657cc80b6c28985f3db8ef,spring-mvc-csrf-state-changing,src/main/java/su/atb/msa/forex/fxmsaggregator/controller/DocumentController.java,31,warning,CWE-352,A01,Spring MVC state-changing handler — CSRF mitigations not evident from controller source,static_registry,new,,,,6.5.10;6.2.4,SOX-ITGC-APP-02,CC6.1;CC6.6;CC7.2,GOST-R-57580.1-2017-8.4;ISMG-FSTEC-UZP-9,CWE-352,none,,,Spring MVC state-changing handler — CSRF mitigations not evident from controller source: Spring MVC state-changing endpoint без CSRF token.
